"","pathway","pval","padj","log2err","ES","NES"
"44","KRAS.LUNG_UP.V1_DN",0.424272818455366,1,0.053347785067549,-0.388252231227993,-1.03290252051323
"45","KRAS.PROSTATE_UP.V1_UP",0.994969818913481,1,0.00502537209391229,-0.230766941117782,-0.612382877233279
"46","MTOR_UP.N4.V1_DN",1,1,0,-0.219883634425803,-0.593165984252949
"47","MTOR_UP.V1_DN",1,1,0.0014426950408889,-0.143754034161352,-0.387685796721282
"48","NOTCH_DN.V1_DN",0.998998998998999,1,0.00250132493941571,-0.210152839720561,-0.566281931133669
"49","NOTCH_DN.V1_UP",0.965965965965966,1,0.00881182919930239,-0.274683171762678,-0.740172138161987
"50","PGF_UP.V1_DN",1,1,0,-0.207678211732301,-0.560170720494886
"51","PRC1_BMI_UP.V1_DN",0.987987987987988,1,0.0054335217582325,-0.254129555162696,-0.684854549917816
"52","PTEN_DN.V1_DN",0.995,1,0.00354273909070668,-0.238378250606717,-0.642953904053668
"53","RELA_DN.V1_UP",1,1,0.00288973010331959,-0.172499883877883,-0.460437928528134
"54","SRC_UP.V1_UP",0.989,1,0.00502537209391229,-0.246038376415869,-0.661371616147986
"55","TBK1.DN.48HRS_UP",0.510387605322053,1,0.143902565267782,0.260056411479099,1.03725959670237
"56","YAP1_DN",0.370253164556962,1,0.0621124188949471,-0.434431575512318,-1.07889345548528
"57","YAP1_UP",0.788461538461538,1,0.222056046145248,0.228488191702507,0.872556080736556
"58","AKT_UP.V1_DN",NA,NA,NA,0.212236536042982,NA
"59","AKT_UP.V1_UP",NA,NA,NA,0.376193569677857,NA
"60","AKT_UP_MTOR_DN.V1_DN",NA,NA,NA,0.301359914473164,NA
"61","AKT_UP_MTOR_DN.V1_UP",NA,NA,NA,0.33198154214188,NA
"62","ALK_DN.V1_DN",NA,NA,NA,0.200917654384797,NA
"63","ALK_DN.V1_UP",NA,NA,NA,0.268101709767602,NA
"64","ATF2_S_UP.V1_DN",NA,NA,NA,0.306987050846751,NA
"65","ATF2_S_UP.V1_UP",NA,NA,NA,0.341566250035477,NA
"66","ATF2_UP.V1_DN",NA,NA,NA,0.290061576680205,NA
"67","ATF2_UP.V1_UP",NA,NA,NA,0.361524690630547,NA
"68","ATM_DN.V1_UP",NA,NA,NA,0.284833264150426,NA
"69","BMI1_DN.V1_DN",NA,NA,NA,0.226765765217151,NA
"70","BMI1_DN.V1_UP",NA,NA,NA,0.510628922119133,NA
"71","BMI1_DN_MEL18_DN.V1_DN",NA,NA,NA,0.153744619838992,NA
"72","BMI1_DN_MEL18_DN.V1_UP",NA,NA,NA,0.514728303542752,NA
"73","CAMP_UP.V1_DN",NA,NA,NA,0.218770938032679,NA
"74","CAMP_UP.V1_UP",NA,NA,NA,0.359140890149694,NA
"75","CRX_DN.V1_DN",NA,NA,NA,0.250924496350527,NA
"76","CRX_DN.V1_UP",NA,NA,NA,0.238668683213181,NA
"77","CRX_NRL_DN.V1_DN",NA,NA,NA,0.244574371055468,NA
"78","CRX_NRL_DN.V1_UP",NA,NA,NA,0.244566742950474,NA
"79","CSR_EARLY_UP.V1_UP",NA,NA,NA,0.50762108590023,NA
"80","CSR_LATE_UP.V1_DN",NA,NA,NA,0.289416794097843,NA
"81","CSR_LATE_UP.V1_UP",NA,NA,NA,0.547985275388389,NA
"82","CYCLIN_D1_KE_.V1_UP",NA,NA,NA,0.28946691196558,NA
