id	filename	md5	size	state
51f545d2-3da2-46c1-9ed4-204133701dad	51f545d2-3da2-46c1-9ed4-204133701dad/ebc79b86-12cb-4a5b-b0e4-4d1017ef22f4.rna_seq.augmented_star_gene_counts.tsv	4ec5b81c26d790a1025a3e2de08d3327	4210246	validated
52363b7b-f157-4fbe-8388-169b6152c9fe	52363b7b-f157-4fbe-8388-169b6152c9fe/655b5152-d150-4b2a-b7cc-ef70dc0b2256.rna_seq.augmented_star_gene_counts.tsv	9b7b008eedede6079972ef9bd66aacd9	4250387	validated
53b14fb6-9f29-412a-921b-49e270fa2039	53b14fb6-9f29-412a-921b-49e270fa2039/5511e816-3ce5-4d0c-80a7-71ee42ba8fc9.rna_seq.augmented_star_gene_counts.tsv	52c7e9c85942f473d73e9cc6c6f9d108	4246905	validated
55831884-c907-457d-bb2c-7c7b3f7c4cd1	55831884-c907-457d-bb2c-7c7b3f7c4cd1/c7fd0bf8-753e-45d6-b987-51ec7559f728.rna_seq.augmented_star_gene_counts.tsv	e198516b3361c40dec102e1e65bacffb	4237695	validated
5601dc73-ba9b-4f53-95ef-5fc3de23640c	5601dc73-ba9b-4f53-95ef-5fc3de23640c/d6e945f2-4a94-48ab-9ba0-d4f0ee2fb262.rna_seq.augmented_star_gene_counts.tsv	07e0cb3e38fe8edaacff134fe7e79ea6	4234980	validated
56e9a740-ee72-4c10-a90d-921034141b42	56e9a740-ee72-4c10-a90d-921034141b42/2b4652fb-eef5-427e-b4f0-24164c042e52.rna_seq.augmented_star_gene_counts.tsv	db58b268328ffb3241c5c6926bf64b96	4243623	validated
58b3d72d-6cff-4c5c-9317-13d88cd17b79	58b3d72d-6cff-4c5c-9317-13d88cd17b79/49ab8f1a-6252-47b0-9f16-63e065f33efd.rna_seq.augmented_star_gene_counts.tsv	d577430cc1b82504a921cbd36a0baa39	4236793	validated
5a37129a-9672-4fda-8576-e7de1db7b2c2	5a37129a-9672-4fda-8576-e7de1db7b2c2/be000bb2-fe39-4153-b000-df89033d412a.rna_seq.augmented_star_gene_counts.tsv	cae23ab93bcb96b6025459cd1436aa89	4229178	validated
5d65e761-0cb3-4e52-b14f-79be5850dba4	5d65e761-0cb3-4e52-b14f-79be5850dba4/8f55fdd2-25cb-40dc-809e-2ddbdadd34c3.rna_seq.augmented_star_gene_counts.tsv	47308b789132644ae650f8677cc4642f	4251316	validated
5f2d965a-25df-4736-a675-efeb59341a04	5f2d965a-25df-4736-a675-efeb59341a04/9a54be5e-6201-4beb-9689-289b9849756e.rna_seq.augmented_star_gene_counts.tsv	9d598f42a96080927d9e4ccc40ac79a8	4199867	validated
63a884f4-0d20-4cb5-b485-72e066b6490f	63a884f4-0d20-4cb5-b485-72e066b6490f/d3ebb2ea-10db-4c29-8e7c-7c13b23b5b15.rna_seq.augmented_star_gene_counts.tsv	ed0423f0517fabc14c44cdcd125c1956	4231541	validated
